Werkzeug,Maschine,Qualitaetsparameter,Vorschub,Energieverbrauch,Ausschuss
2,B,30.9,1.8,17.7,0
3,B,17.2,2.4,18.1,0
2,A,26,1.3,16.6,0
3,B,17,2.3,16.8,0
1,A,21.4,1.2,18.2,0
1,B,28.8,1.2,15.1,0
1,B,23.6,2.8,16.5,0
1,A,24.1,2.5,17.1,0
2,A,29.7,1.1,17.1,0
2,B,25.6,1.9,17,0
1,A,22.2,2,17,0
3,A,17.8,1.9,19.6,0
3,B,13.3,2.7,21.8,1
2,A,17,1.7,21.1,0
1,A,22.3,1.4,14.9,0
3,B,21,1.9,15,0
1,B,26.6,2.2,19.1,0
3,B,27.4,1.1,15.6,0
3,A,11.4,1.6,17.6,1
3,B,18.4,2.8,15.6,0
3,B,18.3,2.4,19.4,0
1,A,21.7,1.2,15,0
1,B,17.7,2.7,17.3,0
1,B,27,1.2,20.4,0
3,B,20.9,1.9,14.8,0
1,A,15.8,2.4,20.6,1
2,A,23.2,1.3,16.1,0
2,B,31.3,1.6,18.4,0
3,A,12.5,2.3,17.2,1
2,A,29.3,1.2,16,0
1,B,29.3,1.1,16.4,0
3,A,13.2,2.4,17.1,1
1,B,28.9,1.2,15.2,0
2,A,26.4,1.3,15.3,0
2,B,22.5,2.9,17.2,0
3,A,17,2.8,15.8,0
1,A,24.8,1.9,18.3,0
1,B,28,1.2,16.8,0
3,A,22.8,1.3,15.6,0
2,A,29.7,1.2,17.1,0
3,A,13.6,2.4,16.4,1
2,B,25.4,2.3,16.1,0
3,A,22.6,1.3,16.4,0
2,B,31.1,1.6,17.8,0
1,A,25.2,1.1,14.6,0
2,A,21.9,1.6,16.8,0
2,A,23.1,1.4,15.8,0
2,A,23.7,2.2,16.4,0
3,B,27.4,1.2,15.8,0
1,B,19.6,2.4,21.4,0
3,B,27.7,1,15.9,0
1,A,19.8,2,17.8,0
3,B,22.5,2.9,15.5,0
3,A,13.7,2.3,19.8,1
2,A,17,1.7,22.3,0
1,A,21.7,1.9,15.9,0
1,A,20.1,1.6,15.1,0
1,A,19.1,2.3,16.4,0
1,A,19.2,2.1,16.8,0
3,A,11.5,1.6,17.3,1
2,A,26.2,1.2,16.4,0
1,A,17.2,2.4,15.7,0
3,A,17.3,3.1,17,0
